12:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 14.640 m/s
12:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 14.640 m/s
12:18:42: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -135.0 degrees
12:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 14.846 m/s
12:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 14.846 m/s
12:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -63.43494882292201 degrees
12:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 15.037 m/s
12:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 15.037 m/s
12:18:43: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -90.0 degrees
12:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 15.214 m/s
12:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 15.214 m/s
12:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -116.56505117707798 degrees
12:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 15.379 m/s
12:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 15.379 m/s
12:18:44: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -45.0 degrees
12:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 15.533 m/s
12:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 15.533 m/s
12:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -63.43494882292201 degrees
12:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 15.677 m/s
12:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 15.677 m/s
12:18:45: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by -90.0 degrees
